23404, 20211220.6, 2021-12-20T13:59:19.124832Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 54, comprehensive Python38 | 54, mysql | 54, test_cli | 0
23400, 20211220.5, 2021-12-20T07:42:54.8883605Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2149, comprehensive Python38 | 5220, mysql | 4248, test_cli | 451
23394, 20211220.3, 2021-12-20T06:52:06.9386177Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2573, comprehensive Python38 | 5807, mysql | 4804, test_cli | 451
23380, 20211218.7, 2021-12-18T19:01:50.4621125Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23378, 20211218.6, 2021-12-18T18:24:07.3579377Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23374, 20211218.5, 2021-12-18T16:49:47.0659942Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23366, 20211218.3, 2021-12-18T07:57:18.1358028Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2149, comprehensive Python38 | 5220, mysql | 4248, test_cli | 451
23363, 20211218.2, 2021-12-18T02:54:31.230926Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23359, 20211218.1, 2021-12-18T02:18:04.0765839Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2473, comprehensive Python38 | 5707, mysql | 4704, test_cli | 451
23355, 20211217.59, 2021-12-17T22:32:49.0713202Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23351, 20211217.58, 2021-12-17T22:26:10.1899703Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23347, 20211217.57, 2021-12-17T21:43:55.7141277Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2630, comprehensive Python38 | 5864, mysql | 4861, test_cli | 451
23343, 20211217.56, 2021-12-17T21:17:08.9092589Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23342, 20211217.55, 2021-12-17T21:17:08.2339909Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 54, comprehensive Python38 | 54, mysql | 54, test_cli | 0
23336, 20211217.54, 2021-12-17T21:15:14.200909Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2630, comprehensive Python38 | 5864, mysql | 4861, test_cli | 451
23326, 20211217.51, 2021-12-17T20:54:58.4941366Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23314, 20211217.48, 2021-12-17T20:40:52.9541599Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2525, comprehensive Python38 | 5759, mysql | 4756, test_cli | 451
23306, 20211217.46, 2021-12-17T20:24:54.1158319Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 54, comprehensive Python38 | 54, mysql | 54, test_cli | 0
23302, 20211217.45, 2021-12-17T20:18:49.7864935Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
